ID,Title,Bechdel Pass
tt1289401,Ghostbusters,True
tt3631112,The Girl on the Train,True
tt4547056,The Girl with All the Gifts,True
tt2404233,Gods of Egypt,False
tt4667788,Grüße aus Fukushima (Greetings from Fukushima),True
tt4366830,Grease Live!,True
tt2034800,The Great Wall,False
tt2119532,Hacksaw Ridge,False
tt0475290,"Hail, Caesar!",False
tt5664684,Hairspray Live!,True
tt4016934,The Handmaiden (Ah-ga-ssi),True
tt3072482,Hardcore Henry,False
tt5709236,Hated in the Nation,True
tt2582782,Hell or High Water,False
tt4846340,Hidden Figures,True
tt3451230,High Strung,False
tt3896738,Hounds of Love,True
tt4961380,House on Willow Street,True
tt1292566,How to Be Single,True
tt4698684,Hunt for the Wilderpeople,True
tt2381991,The Huntsman: Winter's War,True
tt4007248,Hurricane Bianca,True
tt5022702,Hush,True
tt5059406,I Am the Pretty Thing That Lives in the House,True
tt4779026,I Had a Bloody Good Time at House Harker,False
tt5168192,"I, Daniel Blake",True
tt3416828,Ice Age: Collision Course,True
tt5022298,Ice Fantasy,True
tt3608930,In a Valley of Violence,False
tt1628841,Independence Day: Resurgence,True
tt3062096,Inferno,False
tt1355631,The Infiltrator,True
tt4645368,It's Only the End of the World,True
tt3393786,Jack Reacher: Never Go Back,True
tt1619029,Jackie,True
tt2140037,Jane Got a Gun,False
tt4196776,Jason Bourne,False
tt4326444,Julieta,True
tt3040964,The Jungle Book,False
tt5091548,Justice League vs. Teen Titans,True
tt4139124,Keanu,True
tt2387499,Keeping Up with the Joneses,True
tt6220550,Keijo!!!!!,True
tt2667380,Kill Command,False
tt5311514,Kimi no na wa.,True
tt4551882,King Dave,False
tt5918104,King of the Dancehall,False
tt5323662,Koe no katachi,False
tt4302938,Kubo and the Two Strings,False
tt2267968,Kung Fu Panda 3,True
tt4322180,L'età d'oro,False
tt3783958,La La Land,True
tt4621872,La pazza gioia,True
tt0918940,The Legend of Tarzan,False
tt4370784,Les innocentes,True
tt5153952,Let Me Go,True
tt4396662,Liberty's Secret,True
tt2547584,The Light Between Oceans,True
tt4786282,Lights Out,True
tt3741834,Lion,False
tt4788934,Little Door Gods,True
tt5434870,Little Sister,True
tt2361317,Live by Night,False
tt5908566,Locos de Amor,False
tt1212428,The Lost City of Z,False
tt3068194,Love & Friendship,True
tt3908142,The Love Witch,True
tt4669986,Loving,True
tt2404435,magnificent 7,False
tt4034228,Manchester by the Sea,True
tt3963816,Marauders,False
tt0439602,Martyrs,True
tt2461150,Masterminds,True
tt3721954,Maudie,True
tt2674426,Me Before You,True
tt4191580,Meet the Blacks,True
tt4981636,Middle School: The Worst Years of My Life,True
tt5629964,The Midnight Man,True
tt2649554,Midnight Special,False
tt2823054,Mike and Dave Need Wedding Dates,True
tt1935859,Miss Peregrine's Home for Peculiar Children,True
tt4540710,Miss Sloane,True
tt3521164,Moana,True
tt2241351,Money Monster,True
tt5898034,Monster High: Welcome to Monster High,True
tt3095734,Monster Trucks,False
tt4975722,Moonlight,False
tt4520364,Morgan,True
tt4824302,Mother's Day,True
tt4196848,Mr. Church,True
tt2091935,Mr. Right,False
tt3760922,My Big Fat Greek Wedding 2,True
tt2321405,My Life as a Zucchini,True
tt5474644,My Little Pony: Equestria Girls - Legend of Everfree,True
tt5791884,Ne gledaj mi u pijat,False
tt4438848,Neighbors 2: Sorority Rising,True
tt1974419,The Neon Demon,True
tt4698584,Neruda,False
tt3531824,Nerve,True
tt3799694,The Nice Guys,True
tt4550098,Nocturnal Animals,True
tt1594972,Norm of the North,True
tt4191702,Norman,False
tt3110958,Now You See Me 2,False
tt4836736,Nowhere Boys: The Book of Shadows,True
tt1711525,Office Christmas Party,True
tt4158876,Other People,True
tt4361050,Ouija: Origin of Evil,True
tt1995390,Our Kind of Traitor,True
tt1355644,Passengers,False
tt5247022,Paterson,False
tt5598100,Patients,False
tt4871980,The Perfect Match,False
tt4714782,Personal Shopper,True
tt1183374,Pet,False
tt2788732,Pete's Dragon,True
tt5789664,Petersburg: a selfie,True
tt5571734,Pink,True
tt4680196,Planetarium,True
tt3960412,Popstar: Never Stop Never Stopping,False
tt5154288,Prevenge,True
tt1374989,Pride and Prejudice and Zombies,True
tt4094724,The Purge: Election Year,True
tt4331970,Quand on a 17 ans,True
tt4341582,Queen of Katwe,True
tt5096536,Réparer les vivants,False
tt5274066,Raising the Bar,True
tt5662932,Raman Raghav 2.0,False
tt2865120,Ratchet & Clank,True
tt4954522,Raw,True
tt3686998,The Red Pill,True
tt3666024,The Red Turtle,False
tt2592614,Resident Evil: The Final Chapter,True
tt2869728,Ride Along 2,False
tt1267299,The Rocky Horror Picture Show: Let's Do the Time Warp Again,True
tt3748528,Rogue One,True
tt5165344,Rustom,True
tt1700841,Sausage Party,True
tt2709768,The Secret Life of Pets,False
tt5697078,Sensitivity Training,True
tt3845670,Seoulyeok [Seoul Station],False
tt4052882,The Shallows,True
tt4262980,Shin Godzilla,False
