Name,Gender
Erika Alexander,1
Richard Herd,2
Ashley LeConte Campbell,1
John Wilmot,0
Caren L. Larkey,1
Julie Ann Doan,1
Rutherford Cravens,0
Yasuhiko Oyama,0
Jeronimo Spinx,2
Ian Casselberry,0
Trey Burvant,2
John Donohue,0
Sean Paul Braud,0
Zailand Adams,2
Jana Allen,1
Ben Ladner,0
Lory Tom Thompson Sr.,0
Michael Amstutz,2
Gary Wayne Loper,0
Jack Teague,0
Jamie Gliddon,0
Matthew McCrocklin,0
Evan Shafran,0
Lyle Brocato,2
Jordan Peele,2
Armie Hammer,2
Amira Casar,1
Esther Garrel,1
Victoire Du Bois,1
Vanda Capriolo,1
Antonio Rimoldi,0
Elena Bucci,0
Marco Sgrosso,0
André Aciman,2
Peter Spears,2
Gary Oldman,2
Kristin Scott Thomas,1
Lily James,1
Stephen Dillane,2
Ronald Pickup,2
Ben Mendelsohn,2
Nicholas Jones,2
Samuel West,2
David Schofield,2
Richard Lumsden,2
Malcolm Storry,2
Hilton McRae,2
Benjamin Whitrow,2
Joe Armstrong,2
Adrian Rawlins,2
David Bamber,2
David Strathairn,2
Jeremy Child,0
Brian Pettifer,2
Michael Gould,2
John Atterbury,0
Hannah Steele,0
Philip Martin Brown,2
Nia Gwynne,1
Faye Marsay,1
Jordan Waller,2
Mary Antony,0
Bethany Muir,1
Anna Burnett,1
James Eeles,0
Roisin O'Neill,0
Joanna Neary,0
Flora Nicholson,0
Richard Glover,2
Paul Leonard,2
Eric MacLennan,2
Tom Ashley,2
Pip Torrens,2
Bronte Carmichael,1
Patsy Ferran,1
James Harkness,0
Joshua James,2
Kieran Buckeridge,0
Michelle Williams,1
Christopher Plummer,2
Mark Wahlberg,2
Romain Duris,2
Charlie Plummer,2
Charlie Shotwell,0
Timothy Hutton,2
Andrew Buchan,2
Marco Leonardi,2
Giuseppe Bonifati,0
Nicolas Vaporidis,0
Andrea Piedimonte,2
Guglielmo Favilla,2
Adele Tirante,0
Stacy Martin,1
Maya Kelly,0
Anna Devlin,0
Kit Cranston,0
Stanley Treshansky,0
Ginevra Migliore,0
Josie Sayers,0
Olivia Grant,0
Charlotte Beckett,1
Roy McCrerey,0
Giulio Base,2
Nicola Di Chio,0
Alessandra Roca,1
Francesca Inaudi,1
Francesco Bomenuto,0
Ghassan Massoud,2
Clive Wood,2
Jonathan Aris,2
Oliver Ryan,0
Cherise Silvestri,1
Trevante Rhodes,2
André Holland,2
Janelle Monáe,1
Ashton Sanders,2
Jharrel Jerome,2
Jaden Piner,0
Naomie Harris,1
Shariff Earp,2
Duan Sanderson,2
Herman 'Caheej' McGloun,0
Kamal Ani-Bellow,0
Keomi Givens,0
Eddie Blanchard,0
Rudi Goblen,0
Edson Jean,2
Patrick Decile,2
Herveline Moncion,0
Fransley Hyppolite,0
Jesus Mitchell,0
Larry Anderson,0
Tanisha Cidel,0
Stephon Bron,0
Don Seward,0
Justin Ebenhack,0
Jeremy Renner,2
Tzi Ma,2
Mark O'Brien,2
Julia Scarlett Dan,1
Abigail Pniowsky,1
Jadyn Malone,0
Carmela Nozza Guizzo,0
Andrew Shaver,2
Shawn Campbell,2
Larry Day,2
Pat Kiely,2
Frank Schorpion,2
Lucas Chartier-Dessert,0
Lucy Van Oldenbarneveld,1
Sonia Vigneault,1
Mark Camacho,2
Sabrina Reeves,1
Russell Yuen,2
Julian Casey,0
Tony Robinow,0
Anana Rydvald,1
Ruth Chiang,1
Sergiy Marchenko,0
Brittany Teo,1
Chistian Jadah,0
Joe Cobden,2
Lorne Brass,2
Genevieve Sirois,1
Abdul Ayoola,2
Bineyam Girma,2
Abdelghafour Elaaziz,2
Daniel Esteban,0
Hal Roberts,0
Matthew Willson,0
Victor Andres Trelles Turgeon,2
Michael Nangreaves,0
Robert D. Morais,0
Mustafa Haidari,0
Albert Kwan,2
Reda Guerinik,2
Adrien Benn,2
Sasha Samar,0
Kathleen Stavert,1
Kattia Thony,0
Leisa Reid,1
Brent Skagford,2
Gurdeep Ahluwalia,0
Brian Dunstan,2
Dan Duran,2
Lori Graham,1
Orla Johannes,1
Sangita Patel,1
Tammie Sutherland,0
Max Walker,0
John Sanford Moore,2
Camille Ross,0
Ola Sturik,1
Karen Belfo,1
Chloë Bellande,1
Philippe Hartmann,2
Laurean Adrian Parau,0
Nathaly Thibault,1
Leslie Baker,1
Christian Jadah,0
Alex M. Yeuh,0
Dave Campbell,0
Alexander Da Mota,0
Akul Dang,0
Frank Fiola,0
Denzel Washington,2
Viola Davis,1
Jovan Adepo,2
Russell Hornsby,2
Mykelti Williamson,2
Saniyya Sidney,1
Lesley Boone,1
Christopher Mele,0
Jason Silvis,0
Tra'Waan Coles,0
Joe Fishel,2
Andrew Garfield,2
Sam Worthington,2
Vince Vaughn,2
Luke Bracey,2
Teresa Palmer,1
Hugo Weaving,2
Rachel Griffiths,1
Ryan Corr,2
Richard Roxburgh,2
Luke Pegler,2
Firass Dirani,2
Goran D. Kleut,0
Nathaniel Buzolic,2
Ori Pfeffer,2
Matthew Nable,2
Jacob Warner,0
Richard Pyros,2
Ben Mingay,2
Harry Greenwood,2
Damien Thomlinson,0
Robert Morgan,2
Milo Gibson,2
John Batziolas,0
Mikael Koski,0
Charles Jacobs,0
Ben O'Toole,0
James Lugton,2
Tim McGarry,2
Tyler Coppin,2
Dennis Kreusler,2
Nico Cortez,0
Helmut Bakaitis,2
Bill Young,2
Benedict Hardie,2
Philip Quast,0
James Mackay,2
Sam Parsonson,2
Sean Lynch,0
Hayden Geens,0
Tim Potter,2
Santo Tripodi,0
Laurence Brewer,0
Nobuaki Shimamoto,0
Hiroshi Kasuga,2
Yuki Nagashima,0
Taki Abe,0
Taka Uematsu,0
Yoji Tatsuta,0
Milan Pulvermacher,0
Thomas Unger,2
John Cannon,0
Georgia Adamson,1
James O'Connell,2
Jeff Bridges,2
Chris Pine,2
Ben Foster,2
Gil Birmingham,2
Marin Ireland,1
Katy Mixon,1
Dale Dickey,1
Kevin Rankin,2
Melanie Papalia,1
John-Paul Howard,2
Christopher W. Garcia,2
Buck Taylor,2
Kristen Berg,0
Amber Midthunder,1
Alma Sisneros,1
Gregory Cruz,2
Debrianna Mansini,1
Dylan Kenin,2
Terry Dale Parks,2
Martin Palmer,2
Lora Martinez-Cunningham,1
Richard Beal,0
Taylor Sheridan,2
Margaret Bowman,1
J. Nathan Simmons,2
Ricky Lee,0
Crystal Gonzales,0
Howard Ferguson Jr.,0
Danny Winn,2
William Sterchi,2
Taraji P. Henson,1
Kevin Costner,2
Kirsten Dunst,1
Jim Parsons,2
Glen Powell,2
Ariana Neal,0
Zani Jones Mbayise,0
Donna Biscoe,0
Olek Krupa,2
Aldis Hodge,2
Kimberly Quinn,1
Frank Hoyt Taylor,2
Karan Kendrick,0
Jaiden Kaine,0
Kurt Krause,0
Ken Strunk,2
Selah Kimbro Jones,0
Tre Stokes,0
Corey Mendell Parker,0
Alkoya Brunson,2
Ron Clinton Smith,2
Gregory Alan Williams,2
Maria Howell,1
Arnell Powell,2
Crystal Lee Brown,1
Tequilla Whitfield,0
Dane Davenport,0
Evan Holtzman,2
Travis Smith,0
Scott Michael Morgan,2
Chris Cavalier,0
Rhoda Griffis,1
Karen Wheeling Reynolds,1
Kate Kneeland,1
Joe Knezevich,2
Paul Ryden,2
John Atwood,0
Jon Edwin Wright,0
Wilbur Fitzgerald,2
Michael Hartson,2
Bob Jennings,0
Gary Weeks,2
Afemo Omilami,2
Cullen Moss,2
Amy Tipton,1
Elijah Everett,0
Andre Pushkin,0
Randall Newsome,0
Joe Hardy Jr.,0
Howie Johnson,2
Addison Rose Melfi,0
Paige Nicollette,0
Ryan Gosling,2
John Legend,2
Rosemarie DeWitt,1
J.K. Simmons,2
Amiée Conn,0
Terry Walters,1
Thom Shelton,0
Cinda Adams,0
Callie Hernandez,1
Jessica Rothe,1
Sonoya Mizuno,1
Claudine Claudio,0
Jason Fuchs,2
D.A. Wallach,2
Trevor Lissauer,2
Olivia Hamilton,0
Anna Chazelle,0
Marius De Vries,0
Finn Wittrock,2
Josh Pence,2
Nicole Coulon,1
Damon Gupton,2
Christopher Michael Stevens,0
Keith Harris,0
Kaveh Rastegar,0
Briana Lee,0
David Douglas,0
Miles Anderson,2
Bobo Chang,0
Meagen Fay,1
John Hindman,2
Valarie Rae Miller,1
Nicole Wolf,0
Corrin Evans,0
Kiff Vanden Heuvel,2
Tom Everett Scott,2
Hemky Madera,2
Zoë Hall,1
Dempsey Pappion,2
Sandra Rosko,1
Reshma Gajjar,1
Candice Coke,1
Hunter Hamilton,0
Damian Gomez,0
Amanda Balen,0
Dominic Chaiduang,2
Cindera Che,0
Chris Moss,0
Marissa Labog,1
Tiffany Daniels,0
Melinda Sullivan,0
Stephanie Landwehr,1
Britt Stewart,0
Clarice Ordaz,1
Nathan Prevost,0
Scott Hislop,2
Kc Monnie,0
Krystal Ellsworth,1
Sarah Mitchell,1
Khasan Brailsford,0
Morgan Larson,0
Becca Sweitzer,1
Gakenia Muigai,0
Michael Stein,0
Mario Diaz,2
Julie Schmid,0
Lexie Contursi,0
Eartha Robinson,0
Sybil Azur,0
Tara Nicole Hughes,1
Kayla Kalbfleisch,0
Martha Nichols,0
Anthony Marciona,2
Bill Prudich,0
Robert Roldan,2
Ryan Novak,0
Demian Boergadine,0
Gustavo Vargas,2
Robert Haynes,0
Ana Flavia Gavlak,1
Andres Perez-Molina,2
Phillip E. Walker,2
Milica Govich,1
Kaye L. Morris,0
Nilla Elizabeth Watkins,0
Holly Houk,0
Jesse Houk,0
Kristin Slaysman,1
Cameron Brinkman,0
Jordan Ray Fox,2
Caroline Jaden Stussi,1
Margaret Newborn,1
Nadia Tumanova,0
Crystal Nichol,0
Kristin Elliott,1
Andrea Lareo,0
Christopher Aber,0
Anna Lunberry,0
Courtney Hart,1
Shannon Leann,0
Jenna Curtis,1
Noah James,2
Tommy Cooley,0
Morgan Cohen,0
Jeremy Nathan Tisser,0
Patty Tobin,0
Heather Turman,1
Susie Ganiere,0
Ottavio Taddei,0
April Martucci,0
Trent Kerpsack,0
Lynn Moore,1
Vince Donvito,0
Steffen Dziczek,0
Melvin LaThomas Brimm,0
Kelly Kennedy,1
Clarence Robinson,0
Dapo Torimiro,0
Destinee Handly,0
Tommy Otis,0
Amanda Fields,1
Frederick Keeve,2
Kayla Bechor,0
Sunny Pawar,2
Dev Patel,2
Rooney Mara,1
David Wenham,2
Nicole Kidman,1
Abhishek Bharate,2
Divian Ladwa,2
Priyanka Bose,1
Deepti Naval,1
Tannishtha Chatterjee,0
Keshav Jadhav,0
Nawazuddin Siddiqui,2
Benjamin Rigby,0
Riddhi Sen,2
Rita Boy,0
Arka Das,2
Emilie Cocquerel,1
Sachin Joab,0
Menik Gooneratne,0
Anna Samson,0
Eamon Farren,2
Tegan Crowley,0
Belinda Misevski,0
Lucy Moir,0
Casey Affleck,2
Kyle Chandler,2
C.J. Wilson,2
Heather Burns,1
Tate Donovan,2
Josh Hamilton,2
Anna Baryshnikov,1
Matthew Broderick,2
Gretchen Mol,1
Ben O'Brien,0
Richard Donelly,0
Virginia Loring Cooke,0
Quincy Tyler Bernstine,0
Missy Yager,1
Ben Hanson,0
Mary Mallen,0
Lewis D. Wheeler,2
Anthony Estrella,0
Susan Pourfar,1
Robert Sella,2
Ruibo Qian,1
Tom Kemp,2
Chloe Dixon,0
Ellie Teves,0
Paul Meredith,0
Carolyn Pickman,1
Christian J. Mallen,0
Oscar Wahlberg,0
Kara Hayward,1
Wendy Overly,0
Shawn Fitzgibbon,0
Glenn McKiel,0
Joe Stapleton,0
Brian Chamberlain,0
Kenneth Lonergan,2
Jackson Damon,0
Jami Tennille,0
Liam McNeill,2
Allyn Burrows,0
Nellie Lonergan,0
Brian A. White,0
Erica McDermott,0
Danae Nason,1
Frank Garvin,0
Kt Baldassaro,0
William Bornkessel,2
Mark Ruffalo,2
Michael Keaton,2
Rachel McAdams,1
Liev Schreiber,2
John Slattery,2
Stanley Tucci,2
Brian d'Arcy James,2
Gene Amoroso,0
Billy Crudup,2
Maureen Keiller,1
Paul Guilfoyle,2
Len Cariou,2
Laurie Heineman,0
Tim Progosh,2
Elena Wohl,1
Doug Murray,2
Sharon McFarlane,1
Jamey Sheridan,2
Robert B. Kennedy,0
Duane Murray,2
Michael Countryman,2
Tim Whalen,0
Brad Borbridge,0
Don Allison,0
Patty Ross,1
Paloma Nuñez,1
Robert Clarke,2
Gary Galone,0
David Fraser,2
Paulette Sinclair,0
Elena Juatco,0
Nancy Villone,0
Wendy Merry,0
Siobhan Murphy,1
Eileen Padua,0
Darrin Baker,2
Jimmy LeBlanc,2
Neion George,0
Laurie Murdoch,2
Zarrin Darnell-Martin,1
Krista Morin,0
Paula Barrett,1
Mairtin O'Carrigan,2
Rob de Leeuw,2
Nancy E. Carroll,0
Anthony Paolucci,0
Michele Proude,0
Richard O'Rourke,2
Dennis Lynch,0
Stefanie Drummond,1
Mark McGrinder,0
Richard Fitzpatrick,2
Tom Driscoll,0
Jeffrey Samai,0
Moira Driscoll,0
Forrest Weber,0
Doreen Spencer,0
Janet Pinnick,1
Shannon McDonough,0
Shannon Ruth,0
Daniel Ruth,0
Jennifer Ruth,0
Timothy Mooney,0
